DrV Medical Aesthetics — Monthly Inventory Count,,,,,,,,,,,,,,
Last Updated:,,,,,,,,,,,,,,
Counted By:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CATEGORY,ITEM,UNIT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,NOTES
,,,,,,,,,,,,,,
INJECTABLES — DYSPORT,,,,,,,,,,,,,
,Dysport 300u — Boxes,Boxes,,,,,,,,,,,,,
,Dysport 300u — Syringes (reconstituted),Syringes,,,,,,,,,,,,,
,Dysport 500u — Boxes,Boxes,,,,,,,,,,,,,
,Dysport 500u — Syringes (reconstituted),Syringes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INJECTABLES — FILLERS,,,,,,,,,,,,,
,Juvederm Voluma XC 1mL,Syringes,,,,,,,,,,,,,
,Juvederm Vollure XC 1mL,Syringes,,,,,,,,,,,,,
,Juvederm Volbella XC 1mL,Syringes,,,,,,,,,,,,,
,Juvederm Ultra XC 1mL,Syringes,,,,,,,,,,,,,
,Juvederm Ultra Plus XC 1mL,Syringes,,,,,,,,,,,,,
,Restylane-L 1mL,Syringes,,,,,,,,,,,,,
,Restylane Lyft 1mL,Syringes,,,,,,,,,,,,,
,Restylane Kysse 1mL,Syringes,,,,,,,,,,,,,
,Restylane Defyne 1mL,Syringes,,,,,,,,,,,,,
,Restylane Refyne 1mL,Syringes,,,,,,,,,,,,,
,Sculptra — Vials,Vials,,,,,,,,,,,,,
,Radiesse 0.8mL,Syringes,,,,,,,,,,,,,
,Radiesse 1.5mL,Syringes,,,,,,,,,,,,,
,RHA 2,Syringes,,,,,,,,,,,,,
,RHA 3,Syringes,,,,,,,,,,,,,
,RHA 4,Syringes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GENEO,,,,,,,,,,,,,
,Geneo OxyGeneo Pods — Revive,Pods,,,,,,,,,,,,,
,Geneo OxyGeneo Pods — Balance,Pods,,,,,,,,,,,,,
,Geneo OxyGeneo Pods — Detox,Pods,,,,,,,,,,,,,
,Geneo OxyGeneo Pods — Hydrate,Pods,,,,,,,,,,,,,
,Geneo OxyGeneo Pods — Illuminate,Pods,,,,,,,,,,,,,
,Geneo OxyGeneo Pods — Plump,Pods,,,,,,,,,,,,,
,Geneo TriPollar Pads (if applicable),Units,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RF MICRONEEDLING (RFMN),,,,,,,,,,,,,
,RFMN Needle Cartridges — 12-pin,Cartridges,,,,,,,,,,,,,
,RFMN Needle Cartridges — 24-pin,Cartridges,,,,,,,,,,,,,
,RFMN Needle Cartridges — 36-pin,Cartridges,,,,,,,,,,,,,
,RFMN Needle Cartridges — other (specify in notes),Cartridges,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MICRONEEDLING,,,,,,,,,,,,,
,Microneedling Needle Cartridges — 12-pin,Cartridges,,,,,,,,,,,,,
,Microneedling Needle Cartridges — 16-pin,Cartridges,,,,,,,,,,,,,
,Microneedling Needle Cartridges — 36-pin,Cartridges,,,,,,,,,,,,,
,Microneedling Needle Cartridges — nano,Cartridges,,,,,,,,,,,,,
,,,,,,,,,,,,,,
EXOSOMES (Lab Room),,,,,,,,,,,,,
,Exosomes — Vials (specify brand in notes),Vials,,,,,,,,,,,,,
,Exosomes — Ampules,Ampules,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PRP KITS,,,,,,,,,,,,,
,PRP Collection Kits,Kits,,,,,,,,,,,,,
,PRP Tubes (extra),Tubes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SKINCARE — ZO SKIN HEALTH,,,,,,,,,,,,,
,Exfoliating Cleanser,Units,,,,,,,,,,,,,
,Hydrating Cleanser,Units,,,,,,,,,,,,,
,Balancing Toner,Units,,,,,,,,,,,,,
,Daily Power Defense,Units,,,,,,,,,,,,,
,10% Vitamin C Self-Activating,Units,,,,,,,,,,,,,
,Retinol Skin Brightener 0.25%,Units,,,,,,,,,,,,,
,Retinol Skin Brightener 0.5%,Units,,,,,,,,,,,,,
,Retinol Skin Brightener 1%,Units,,,,,,,,,,,,,
,Firming Serum,Units,,,,,,,,,,,,,
,Eye Contour Cream,Units,,,,,,,,,,,,,
,Complexion Renewal Pads,Units,,,,,,,,,,,,,
,Sunscreen + Primer SPF 30,Units,,,,,,,,,,,,,
,Sunscreen + Primer SPF 30 (Tinted),Units,,,,,,,,,,,,,
,Skin Brightening Program,Units,,,,,,,,,,,,,
,Acne Control Program,Units,,,,,,,,,,,,,
,Other ZO (specify in notes),Units,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SKINCARE — OTHER BRANDS,,,,,,,parameter,,,,,,,,
,Add items as needed,Units,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SUPPLIES & CONSUMABLES,,,,,,,,,,,,,
,Syringes 1mL (luer lock),Box,,,,,,,,,,,,,
,Needles 30g x 0.5" (BD),Box,,,,,,,,,,,,,
,Needles 27g x 1.25",Box,,,,,,,,,,,,,
,Cannulas 25g,Box,,,,,,,,,,,,,
,Cannulas 27g,Box,,,,,,,,,,,,,
,Lidocaine 1% vials,Vials,,,,,,,,,,,,,
,Saline 0.9% for reconstitution,Vials,,,,,,,,,,,,,
,Alcohol wipes,Box,,,,,,,,,,,,,
,Gauze 2x2,Box,,,,,,,,,,,,,
,Ice packs (reusable),Units,,,,,,,,,,,,,
